barcode,GasCodeId,GasCode
CC8998907000011,1,2MG3-BA
CC8998907000028,1,2MG3-BA
CC8999999100013,1,2MG3-BA
CC8999123456789,2,C2H2
CC8999345678901,9,O2-AA
CC8999234567890,3,AR-BA
CC8999000001112,3,AR-BA
CC8999876543210,4,CO2-AA
CC8999654321987,4,CO2-AA
CC8999765432109,5,MO2-AA
CC0000236598855,1,2MG3-BA
CC0000236598856,1,2MG3-BA
CC0000236598857,1,2MG3-BA
CC0000236598858,1,2MG3-BA
CC0000236598859,1,2MG3-BA
CC0000236598860,1,2MG3-BA
CC0000236598861,1,2MG3-BA
CC0000236598862,1,2MG3-BA
CC0000236598863,1,2MG3-BA
CC0000236598864,1,2MG3-BA
CC0000236598865,1,2MG3-BA
CC0000236598866,1,2MG3-BA
CC0000236598867,1,2MG3-BA
CC0000236598868,1,2MG3-BA
CC0000236598869,1,2MG3-BA
CC0000236598870,1,2MG3-BA
CC0000236598871,1,2MG3-BA
CC0000236598872,1,2MG3-BA
CC0000236598873,1,2MG3-BA
CC0000236598874,1,2MG3-BA
CC0000236598875,1,2MG3-BA
CC0000236598876,1,2MG3-BA
CC0000236598877,1,2MG3-BA
CC0000236598878,1,2MG3-BA
CC0000236598879,1,2MG3-BA
CC0000236598880,1,2MG3-BA
CC0000236598881,1,2MG3-BA
CC0000236598882,1,2MG3-BA
CC0000236598883,1,2MG3-BA
CC0000236598884,1,2MG3-BA
CC0000236598885,1,2MG3-BA
CC0000236598886,1,2MG3-BA
CC0000236598887,1,2MG3-BA
CC0000236598888,1,2MG3-BA
CC0000236598889,1,2MG3-BA
CC0000236598890,1,2MG3-BA
CC0000236598891,1,2MG3-BA
CC0000236598892,1,2MG3-BA
CC0000236598893,1,2MG3-BA
CC0000236598894,1,2MG3-BA
CC0000236598895,1,2MG3-BA
CC0000236598896,1,2MG3-BA
CC0000236598897,1,2MG3-BA
CC0000236598898,1,2MG3-BA
CC0000236598899,1,2MG3-BA
CC0000236598900,1,2MG3-BA
CC0000236598901,1,2MG3-BA
CC0000236598902,2,C2H2
CC0000236598903,2,C2H2
CC0000236598904,2,C2H2
CC0000236598905,2,C2H2
CC0000236598906,2,C2H2
CC0000236598907,2,C2H2
CC0000236598908,2,C2H2
CC0000236598909,2,C2H2
CC0000236598910,3,AR-BA
CC0000236598911,3,AR-BA
CC0000236598912,3,AR-BA
CC0000236598913,3,AR-BA
CC0000236598914,3,AR-BA
CC0000236598915,3,AR-BA
CC0000236598916,3,AR-BA
CC0000236598917,3,AR-BA
CC0000236598918,3,AR-BA
CC0000236598919,4,CO2-AA
CC0000236598920,4,CO2-AA
CC0000236598921,4,CO2-AA
CC0000236598922,4,CO2-AA
CC0000236598923,4,CO2-AA
CC0000236598924,4,CO2-AA
CC0000236598925,4,CO2-AA
CC0000236598926,4,CO2-AA
CC0000236598927,5,MO2-AA
CC0000236598928,5,MO2-AA
CC0000236598929,5,MO2-AA
CC0000236598930,5,MO2-AA
CC0000236598931,5,MO2-AA
CC0000236598932,5,MO2-AA
CC0000236598933,5,MO2-AA
CC0000236598934,5,MO2-AA
CC0000236598935,5,MO2-AA
qweqweqw,2,C2H2
qweqweqw,2,C2H2
qweqweqw,2,C2H2
AQW123,2,C2H2
AQW123,2,C2H2
123123wqeqw,4,CO2-AA
akash,5,MO2-AA
AQW123,2,C2H2
AQW123,3,AR-BA
aaaaa,1,2MG3-BA
aaaaa,4,CO2-AA
GASBAR5272025,6,N2-CB
barcade2323,5,MO2-AA
VAR3121,6,N2-CB
VAR3121,6,N2-CB
ASDASDASD,6,N2-CB
EDEERER,6,N2-CB
WQEQWE,6,N2-CB
Barcode,4,CO2-AA
Barcode,6,N2-CB
Barcodes,2,C2H2
Barcodee,4,CO2-AA
Barcodeee,4,CO2-AA
barcode29,7,N2O-AA
hpbarcode17361763,6,N2-CB
1001,3,AR-BA
1002,6,N2-CB
23444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444445435435334543,6,N2-CB
3232,3,AR-BA
